Year,"Vehicle Registrations: vehicles weighing less than 4,500 kilograms, Ontario, Stats Can 23-10-0067-01",pop 16-64,t
1999,"6,174,461",7784688,1
2000,"6,344,239",7929704,2
2001,"6,443,516",8104289,3
2002,"6,559,352",8266456,4
2003,"6,626,804",8395599,5
2004,"6,679,102",8520985,6
2005,"6,775,882",8645828,7
2006,"6,918,914",8759564,8
2007,"7,038,695",8838921,9
2008,"7,176,013",8919528,10
2009,"7,243,898",8994471,11
2010,"7,327,772",9090570,12
2011,"7,424,967",9166115,13
2012,"7,514,137",9214186,14
2013,"7,625,689",9250525,15
2014,"7,710,424",9280034,16
2015,"7,866,332",9298697,17
2016,"8,037,343",9374652,18
2017,"8,199,865",9481010,19
2018,"8,357,600",9624442,20
2019,"8,514,952",9761276,21
