year,Tor,Ott,Ham,KCW,Lon,SCN,Win,Osh
2021,6374604,1054800,587192,611493,515114,484840,426246,727328
2022,6514208,1074710,596286,629277,526850,493052,431576,739019
2023,6646990,1095575,605842,647717,539097,501882,437483,751102
2024,6767344,1114105,613686,662624,549130,508822,442648,761007
2025,6881148,1132501,621268,676164,558201,515164,447283,770995
2026,6994214,1151497,628919,689201,566927,521353,451767,781230
2027,7099274,1171675,637023,702056,575387,527383,455906,792461
2028,7200909,1191572,645064,714439,583486,533161,459861,803701
2029,7302612,1211649,653267,726933,591640,538992,463888,815042
2030,7404343,1231887,661628,739532,599846,544871,467987,826463
2031,7506035,1252271,670145,752231,608105,550799,472158,837943
2032,7607830,1272741,678797,765006,616398,556770,476390,849439
2033,7709660,1293278,687577,777854,624723,562783,480684,860937
2034,7811473,1313870,696474,790774,633083,568837,485037,872432
2035,7913247,1334509,705477,803765,641478,574935,489452,883911
2036,8014945,1355194,714575,816831,649915,581076,493928,895371
2037,8116572,1375930,723765,829971,658399,587260,498463,906812
2038,8218068,1396713,733042,843188,666933,593489,503060,918237
2039,8319414,1417544,742400,856479,675520,599760,507714,929646
2040,8420591,1438427,751835,869843,684158,606071,512423,941043
2041,8521586,1459365,761343,883274,692846,612425,517186,952427
2042,8622601,1480313,770901,896742,701565,618810,521985,963772
2043,8723629,1501275,780510,910243,710314,625224,526815,975085
2044,8824661,1522254,790172,923778,719093,631670,531676,986373
2045,8925683,1543252,799888,937346,727904,638150,536569,997639
2046,9026666,1564271,809661,950947,736748,644664,541495,1008890
